"","V1","time","country","valence","sky","temperature"
"80","201808",8,"be",0.47785830645161,0.391984605087015,66.2291105121295
"81","201809",9,"be",0.470583416666665,0.341701680672269,59.3544885177453
"82","201810",10,"be",0.458720967741939,0.420461683417085,54.0290909090909
"83","201811",11,"be",0.4535844,0.45530868385346,44.7108467459761
"84","201812",12,"be",0.480711854838715,0.460749330954505,42.7915151515151
"85","201901",13,"be",0.465183951612904,0.469328193832599,37.7087103308574
"86","201902",14,"be",0.459183428571432,0.438577586206897,44.0766816143498
"87","201903",15,"be",0.468061370967744,0.425288739172281,47.0806212018906
"88","201904",16,"be",0.458966983333341,0.381022483940043,50.8024999999999
"89","201905",17,"be",0.471244403225808,0.385502958579882,52.8865410497982
"90","201906",18,"be",0.480288033333333,0.333163680781759,64.4025034770515
"91","201907",19,"be",0.49779735483871,0.378641732283465,66.3512096774193
"92","201908",20,"be",0.504275951612909,0.314814814814815,66.363416274378
"93","201909",21,"be",0.496403116666663,0.369501239157373,59.2469359331474
"94","201910",22,"be",0.48857041935484,0.359375,53.6568548387096
"95","201911",23,"be",0.486352483333334,0.401544943820225,43.8219596942322
"96","201912",24,"be",0.506863661290323,0.411519320843091,42.9662499999999
"97","201801",1,"se",0.464352951612898,0.766321656050955,29.9473684210528
"98","201802",2,"se",0.472663535714281,0.571569595261599,23.6881559220389
"99","201803",3,"se",0.483895177419346,0.673328488372093,26.3511800404586
"100","201804",4,"se",0.491705249999997,0.621628630705394,42.753685674548
"101","201805",5,"se",0.500290112903227,0.56298828125,58.8242424242425
"102","201806",6,"se",0.511675229204871,0.528780068728522,60.3898257839722
"103","201807",7,"se",0.505620500000003,0.465425531914894,70.0802979011511
"104","201808",8,"se",0.493580838709677,0.433341254752852,64.1622406639002
"105","201809",9,"se",0.478835466666665,0.508258928571429,55.1795407098123
"106","201810",10,"se",0.46460629032258,0.633768913342503,45.4043068640646
"107","201811",11,"se",0.464490066666663,0.791587677725119,38.2635474860335
"108","201812",12,"se",0.468203870967743,0.705989110707804,31.8254545454544
"109","201901",13,"se",0.443608225806448,0.688522196261682,26.1521183591122
"110","201902",14,"se",0.449899124999999,0.759304511278196,33.7678092399403
"111","201903",15,"se",0.452441532258061,0.69344850065189,34.9886792452831
"112","201904",16,"se",0.465337483333335,0.687749003984064,43.5374999999999
"113","201905",17,"se",0.47230403225806,0.487637362637363,49.9721774193548
"114","201906",18,"se",0.48934576666666,0.505720338983051,62.4597077244258
"115","201907",19,"se",0.501169790322585,0.467657342657343,59.9429724277067
"116","201908",20,"se",0.497908451612899,0.462159863945578,61.1492537313431
"117","201909",21,"se",0.488019766666654,0.513452914798206,52.1788811188812
"118","201910",22,"se",0.488971354838699,0.590995440729483,42.2125168236879
"119","201911",23,"se",0.497209983333322,0.768624314442413,36.3508356545961
"120","201912",24,"se",0.482710274193543,0.714796157450797,34.5825000000001
"121","201801",1,"is",0.467898040496404,0.281760533104041,31.8342741935484
"122","201802",2,"is",0.474731010101011,0.303712480252765,33.8656738644823
"123","201803",3,"is",0.479503526448363,0.260634505703422,35.5927076299795
"124","201804",4,"is",0.481536423642365,0.304817905918058,39.9560500695409
"125","201805",5,"is",0.483204643962848,0.286159494535519,41.7301544660846
"126","201806",6,"is",0.472134501642937,0.379209370424597,46.5826268241834
"127","201807",7,"is",0.473791135024345,0.332200587803086,49.7070611970411
"128","201808",8,"is",0.483385020437611,0.312738914373089,49.8350404312667
"129","201809",9,"is",0.467578707940787,0.251408313908314,44.6200138985408
"130","201810",10,"is",0.461133817126272,0.267363669859985,39.206056527591
"131","201811",11,"is",0.483911853921377,0.315723793677205,39.0379623168182
"132","201812",12,"is",0.523747206653418,0.32117927994122,37.300806451613
"133","201901",13,"is",0.473810348387094,0.363834106728538,33.9014765100672
"134","201902",14,"is",0.461705305709952,0.302429149797571,34.0278481012658
"135","201903",15,"is",0.47320796057619,0.280494933749026,33.9504076086957
"136","201904",16,"is",0.471503964059191,0.364105935386927,42.7775000000001
"137","201905",17,"is",0.493078083725095,0.328151618398637,44.8017555705605
"138","201906",18,"is",0.492438299454628,0.354535974973931,49.37369519833
"139","201907",19,"is",0.487952683677956,0.315427280197206,54.3629380053906
