region,year_month,streams,af_danceability,af_energy,af_key,af_loudness,af_speechiness,af_acousticness,af_valence,af_tempo
Iceland,201903,8270796.0,0.7097677533484963,0.5643627242860754,5.167551175132676,-7.592381349507202,0.11972716704574173,0.2614618792519585,0.47321256002021733,120.60375435936315
Iceland,201904,8145582.0,0.7016810253699789,0.5483076109936574,5.228065539112051,-8.1832883192389,0.1269512420718816,0.28556916553911205,0.47146239429175474,120.27215644820296
Iceland,201905,9699430.0,0.6944936198791135,0.585334116856951,5.414372061786434,-7.744689724647415,0.12736556973360197,0.26255748815760016,0.49302789344078796,118.96669196328632
Iceland,201906,8596011.0,0.705494298463064,0.5811465047099652,5.4283589489340605,-7.643418939018344,0.11945426375805651,0.25505646579077834,0.492391522062469,118.47542340109074
Iceland,201907,10037298.0,0.6973429388473383,0.5780202375714913,5.438847338319402,-7.633365596128464,0.11598748350197975,0.24319232116146064,0.48810972283326004,118.96128134623845
Iceland,201908,8780117.0,0.6964622628083492,0.5723557400379508,5.537476280834914,-7.67960555028463,0.12160272770398482,0.24979636102941175,0.49990981973434534,119.39114587286528
Iceland,201909,8053436.0,0.70635056876939,0.5854987331954499,5.47828335056877,-7.258138055842813,0.13254193381592555,0.23060336918304034,0.4943255687693899,122.58733505687694
Iceland,201910,7590286.0,0.699006455234353,0.5824437833286555,5.525119281504351,-7.083426887454392,0.12827791187201795,0.23994160538871737,0.4994396295256806,122.09259809149594
Iceland,201911,7693456.0,0.6740634879502462,0.562173127753304,5.6201088364861365,-7.780975382223374,0.10555545478103136,0.28863744908007255,0.5207942731277533,123.26912205234517
Iceland,201912,12198174.0,0.6122232974255979,0.5292680299433996,5.4727040350556875,-8.784108818696366,0.07526428701844076,0.362435807924046,0.528796768303816,121.54444056965491
Ireland,201801,54570928.0,0.661739728243287,0.646097978000647,4.934163701067615,-6.197413620187642,0.09518466515690716,0.17961508670333226,0.48313485926884503,116.47467211258491
Ireland,201802,51866906.0,0.6675491071428572,0.6408733571428572,5.102142857142857,-6.327532142857143,0.09962942857142858,0.17492790549464288,0.4702530535714286,117.31799660714285
Ireland,201803,56023161.0,0.6626148387096775,0.645359,5.3667741935483875,-6.260759677419355,0.09109319354838709,0.18330088216129034,0.4765217903225807,117.91275403225805
Ireland,201804,63004784.0,0.6626316666666666,0.6613778333333333,5.539166666666667,-6.055991833333334,0.09921963333333333,0.174181717,0.4815187,119.8697095
Ireland,201805,66826618.0,0.6609735483870968,0.6542979677419355,5.368064516129032,-5.962484032258065,0.0914099193548387,0.20203809267741935,0.482397435483871,118.61987709677419
Ireland,201806,69048874.0,0.6624,0.6578330666666666,5.256333333333333,-6.015498666666667,0.10426736666666667,0.19488313018333334,0.48242065,120.0285985
Ireland,201807,70677937.0,0.6640832258064516,0.6484028870967742,5.258387096774194,-6.23344564516129,0.10719279032258064,0.20145819077419355,0.46683803225806453,119.27459129032259
Ireland,201808,66127689.0,0.6575135483870967,0.6617925806451612,5.374354838709677,-6.1747258064516135,0.09406212903225807,0.19763660104838712,0.4806259193548387,119.30659435483871
Ireland,201809,63635601.0,0.6578918333333333,0.6607876666666667,5.315833333333333,-6.151261833333334,0.10826175,0.19313990258333336,0.4669043666666666,119.9960265
Ireland,201810,66759881.0,0.6656903225806451,0.6512243548387097,5.264838709677419,-6.096927096774193,0.09709075806451614,0.2014880479032258,0.45674877419354837,118.31792596774193
Ireland,201811,65891317.0,0.6508491666666666,0.6260863333333333,5.187166666666666,-6.3772505,0.08987623333333333,0.23989769428333332,0.4495706666666667,118.356353
Ireland,201812,80470409.0,0.6282317741935484,0.6103927306451613,5.225483870967742,-7.038449193548387,0.08367022580645161,0.28366534306451613,0.48947985483870965,119.48078677419355
